Strategy,N_obs,Alpha(月),Alpha(年化),Alpha_pvalue,Alpha_tstat,MKT_beta,MKT_pvalue,SMB_beta,SMB_pvalue,HML_beta,HML_pvalue,R_squared,Adj_R2
反转策略Mom1(多空),131,-0.0098233434257737,-0.11788012110928439,0.25929442040422623,-1.1280603792985973,-0.1344360273962326,0.4060663318654646,0.05200263492602968,0.8690274307089872,0.4888418909264021,0.03270082284039762,0.3343528658374618,0.31862891778637825
反转策略Mom3(多空),132,-0.015807299473575048,-0.18968759368290056,0.13210266407430718,-1.5058617632650102,-0.25256722113447944,0.018839771282531885,0.10818804598780657,0.7558973599078005,0.4793319433900171,0.029107826796878525,0.36202019607972713,0.3470675444253457
反转策略Mom6(多空),132,-0.019199465402532735,-0.23039358483039282,0.11271942058637173,-1.586087682673685,-0.2877403713670355,0.11149364939051709,0.24912672673134806,0.5255680110284825,0.3842528125892497,0.10373736079730833,0.2935262048795739,0.27696822530643894
Ridge(多空),35,-0.007964352978354839,-0.09557223574025807,0.12639022071037834,-1.5284928367315955,0.003944817804299969,0.9429883561903719,-0.08947252208162029,0.4816355967046202,0.08234802437616345,0.3886515256498023,0.02422834968586196,-0.07020116486066752
Lasso(多空),35,-0.008259425421070615,-0.09911310505284737,0.1198169030102104,-1.5555425751367424,0.0022024271575344662,0.9685402937785752,-0.09557366667654868,0.46363087197216535,0.0817902418100817,0.40267940464097396,0.025649263705227687,-0.0686427430329759
RandomForest(多空),35,-0.013476259727282539,-0.16171511672739047,0.056246505032155836,-1.9091208392270704,0.01741755859016319,0.846597329520302,-0.15436410872430953,0.18243542117652145,0.24698450307372596,0.21085795471477353,0.08070989455702005,-0.008253664034236108
XGBoost(多空),35,-0.011739951791313069,-0.14087942149575683,0.09606729230013154,-1.664225908862149,0.026775278397828936,0.7764825967747041,-0.1948272328444714,0.13096645345288715,0.25615943057104235,0.15675780474538217,0.10438456163846122,0.01771209986153821
