Label,Ann. Return,Ann. Vol,Sharpe Ratio,Max Drawdown,Sharpe_num,AnnRet_num,AnnVol_num,MaxDD_num
传统反转-Mom1(多空),0.24%,10.48%,-0.263,-12.25%,-0.26339424490924807,0.002387670257299135,0.10483269956112608,-0.1224842239263525
传统反转-Mom1(仅多),12.47%,22.13%,0.428,-25.68%,0.4277197914949673,0.12467522304712109,0.22134870756438932,-0.25680924967049656
传统反转-Mom3(多空),2.68%,12.52%,-0.025,-9.29%,-0.02546602008128199,0.026812376291663442,0.12517164826550659,-0.09290946864982563
OLS(Ridge)(多空),-4.75%,9.96%,-0.778,-20.48%,-0.7778931596161257,-0.047493085052123685,0.09961918818050146,-0.20483342258379367
Lasso(多空),-5.05%,10.09%,-0.798,-20.66%,-0.7975441101366224,-0.050453297451634294,0.10087629816218231,-0.20663881922672167
Random Forest(多空),-8.56%,12.42%,-0.931,-28.70%,-0.9313324594976966,-0.08562744048911186,0.1241527011218681,-0.28703617393408554
XGBoost(多空),-5.87%,12.41%,-0.715,-23.44%,-0.7150246451535489,-0.058749117699910314,0.12412036186648051,-0.2343828596440205
